Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,genus_x,species_x,species_a_common,species_a_name,genus_y,species_y,species_b_common,species_b_name,site_name
219,8806,3,467,82,467,14,0.4406849993379294,0.031475101641879,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
234,8806,3,483,12,483,15,0.4174954050920819,0.0324865313243188,Acer,rubrum,red maple,Acer rubrum,Cornus,florida,flowering dogwood,Cornus florida,GRSM-Tremont-Nature Trail 
237,8806,3,483,82,483,15,0.4878106818986775,0.0127933122991969,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
250,8806,12,467,81,467,14,0.6892765374259923,0.0007670850531177,Cornus,florida,flowering dogwood,Cornus florida,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
252,8806,12,467,82,371,14,0.50561797752809,0.0132026637451969,Cornus,florida,flowering dogwood,Cornus florida,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
254,8806,12,467,823,371,14,0.4067861532350118,0.0470831681868926,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
255,8806,12,467,823,467,14,0.4357609900500941,0.0319814186461884,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
263,8806,12,471,82,471,13,0.5695489135379688,0.0081028659340265,Cornus,florida,flowering dogwood,Cornus florida,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
274,8806,12,498,81,498,14,0.6628679652796168,0.001319643061989,Cornus,florida,flowering dogwood,Cornus florida,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
279,8806,12,498,823,498,14,0.8323838482876372,6.26104290686615e-05,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
280,8806,12,498,1192,467,14,-0.4068381021724862,0.0468521510588554,Cornus,florida,flowering dogwood,Cornus florida,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
281,8806,12,498,1192,498,14,0.5600091430810556,0.0066059928297404,Cornus,florida,flowering dogwood,Cornus florida,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
283,8806,61,467,81,498,14,-0.4971830761761255,0.015233283457063,Acer,saccharum,sugar maple,Acer saccharum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
288,8806,61,467,823,498,14,-0.4114890395670648,0.0462045765852813,Acer,saccharum,sugar maple,Acer saccharum,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
289,8806,61,467,1192,467,14,0.6480548057155245,0.0014253454469424,Acer,saccharum,sugar maple,Acer saccharum,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
294,8806,61,471,100,467,13,0.421089084774252,0.0492017802853333,Acer,saccharum,sugar maple,Acer saccharum,Quercus,alba,white oak,Quercus alba,GRSM-Tremont-Nature Trail 
300,8806,61,483,1192,483,15,0.5784313725490197,0.0032446170979626,Acer,saccharum,sugar maple,Acer saccharum,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
308,8806,81,467,82,371,14,0.5762803837496,0.0049102360947263,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
311,8806,81,467,823,467,14,0.4719399037242694,0.0207184154312571,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
316,8806,81,471,82,471,13,0.5263157894736842,0.0139522990373366,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
327,8806,81,498,823,498,14,0.827640881769065,6.528965590078832e-05,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
329,8806,81,498,1192,498,14,0.5,0.0149810150532012,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
339,8806,82,467,823,467,14,0.5698412946808924,0.0050389548883497,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
346,8806,82,483,823,483,15,0.6601941747572816,0.000720722551589,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
349,8806,100,467,1192,471,13,0.4675324675324674,0.0274900586481659,Quercus,alba,white oak,Quercus alba,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
356,8806,823,498,1192,467,14,-0.4205631760067919,0.0407629831211741,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
