Unnamed: 0,site_id,phenophase_a,phenophase_b,number_of_observations,kendall_tau,p_value,genus_x,species_x,species_a_common,species_a_name,genus_y,species_y,species_b_common,species_b_name,site_name
204,8182,498,471,13,0.4210890847742521,0.0492017802853333,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
209,8182,371,467,14,0.6101792298525177,0.0028982663514623,Aesculus,flava,yellow buckeye,Aesculus flava,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
210,8182,371,483,14,0.519782306911404,0.0111777149862046,Aesculus,flava,yellow buckeye,Aesculus flava,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
216,8182,467,483,14,0.6931818181818181,0.0007534135308855,Aesculus,flava,yellow buckeye,Aesculus flava,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
224,8182,471,471,13,0.802701067850918,0.0001773382188788,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
233,8182,498,498,13,0.4473684210526314,0.0366433384598118,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
238,8182,501,371,14,0.4246406484542904,0.0366428344855158,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
245,8182,467,483,14,0.7571709123765715,0.0002162730823756,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
247,8182,500,501,13,0.8026315789473683,0.0001774024267571,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
248,8409,483,498,13,-0.4675719001195179,0.0274863361115103,Cornus,florida-appalachianspring,Appalachian Spring dogwood,Cornus florida-appalachianspring,Cornus,florida-appalachianspring,Appalachian Spring dogwood,Cornus florida-appalachianspring,GRSM-Twin Creeks Dogwood 2
249,8806,467,467,14,0.4745838454408471,0.0205322649786096,Acer,rubrum,red maple,Acer rubrum,Cornus,florida,flowering dogwood,Cornus florida,GRSM-Tremont-Nature Trail 
252,8806,467,467,14,0.4772727272727272,0.0203467612302907,Acer,rubrum,red maple,Acer rubrum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
255,8806,467,467,14,0.4406849993379294,0.031475101641879,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
271,8806,483,483,15,0.4174954050920819,0.0324865313243188,Acer,rubrum,red maple,Acer rubrum,Cornus,florida,flowering dogwood,Cornus florida,GRSM-Tremont-Nature Trail 
274,8806,483,483,15,0.4878106818986775,0.0127933122991969,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
288,8806,467,467,14,0.6892765374259923,0.0007670850531177,Cornus,florida,flowering dogwood,Cornus florida,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
290,8806,467,371,14,0.50561797752809,0.0132026637451969,Cornus,florida,flowering dogwood,Cornus florida,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
292,8806,467,371,14,0.4067861532350118,0.0470831681868926,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
293,8806,467,467,14,0.4357609900500941,0.0319814186461884,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
301,8806,471,471,13,0.5695489135379688,0.0081028659340265,Cornus,florida,flowering dogwood,Cornus florida,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
312,8806,498,498,14,0.6628679652796168,0.001319643061989,Cornus,florida,flowering dogwood,Cornus florida,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
317,8806,498,498,14,0.8323838482876372,6.26104290686615e-05,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
318,8806,498,467,14,-0.4068381021724862,0.0468521510588554,Cornus,florida,flowering dogwood,Cornus florida,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
319,8806,498,498,14,0.5600091430810556,0.0066059928297404,Cornus,florida,flowering dogwood,Cornus florida,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
321,8806,467,498,14,-0.4971830761761255,0.015233283457063,Acer,saccharum,sugar maple,Acer saccharum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
326,8806,467,498,14,-0.4114890395670648,0.0462045765852813,Acer,saccharum,sugar maple,Acer saccharum,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
327,8806,467,467,14,0.6480548057155245,0.0014253454469424,Acer,saccharum,sugar maple,Acer saccharum,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
333,8806,471,467,13,0.421089084774252,0.0492017802853333,Acer,saccharum,sugar maple,Acer saccharum,Quercus,alba,white oak,Quercus alba,GRSM-Tremont-Nature Trail 
339,8806,483,483,15,0.5784313725490197,0.0032446170979626,Acer,saccharum,sugar maple,Acer saccharum,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
348,8806,467,371,14,0.5762803837496,0.0049102360947263,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
351,8806,467,467,14,0.4719399037242694,0.0207184154312571,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
356,8806,471,471,13,0.5263157894736842,0.0139522990373366,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
367,8806,498,498,14,0.827640881769065,6.528965590078832e-05,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
369,8806,498,498,14,0.5,0.0149810150532012,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
381,8806,467,467,14,0.5698412946808924,0.0050389548883497,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
388,8806,483,483,15,0.6601941747572816,0.000720722551589,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
391,8806,467,471,13,0.4675324675324674,0.0274900586481659,Quercus,alba,white oak,Quercus alba,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
401,8806,498,467,14,-0.4205631760067919,0.0407629831211741,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
402,8806,498,498,14,0.6667107103139691,0.001283074400331,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
404,8836,483,483,13,0.4475234075187578,0.0363888662007085,Acer,rubrum,red maple,Acer rubrum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Sugarlands Nature Trail
405,8836,483,483,13,0.4832323597540974,0.0257125123476664,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
406,8836,483,483,13,0.4267045976501319,0.0480891520533275,Acer,rubrum,red maple,Acer rubrum,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Sugarlands Nature Trail
415,8836,467,467,11,0.697277051246695,0.0030042622393982,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
419,8836,483,483,13,0.6667948594698255,0.0017308539731672,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
420,8836,483,483,13,0.4675719001195179,0.0274863361115103,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Sugarlands Nature Trail
421,8836,498,498,12,0.5151515151515151,0.0209803516313932,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
425,8836,483,483,13,0.4370956778314643,0.041894193197355,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Sugarlands Nature Trail
427,8899,483,483,13,0.4935064935064934,0.0199674304931967,Acer,saccharum,sugar maple,Acer saccharum,Fagus,grandifolia,American beech,Fagus grandifolia,GRSM-Newfound Gap
428,8899,483,483,13,0.7058974305816028,0.0009234420576988,Acer,saccharum,sugar maple,Acer saccharum,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-Newfound Gap
429,8899,483,483,13,0.802701067850918,0.0001740230340733,Acer,saccharum,sugar maple,Acer saccharum,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-Newfound Gap
430,8899,483,483,13,0.6143922080988024,0.0039337873085607,Fagus,grandifolia,American beech,Fagus grandifolia,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-Newfound Gap
431,8899,483,483,13,0.631633627161378,0.0031370371316716,Fagus,grandifolia,American beech,Fagus grandifolia,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-Newfound Gap
433,8899,483,483,13,0.8212100613803269,0.0001320921844935,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-Newfound Gap
