Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,species_a_name,species_b_name,site_name
280,8806,12,Colored leaves,1192,Increasing leaf size,14,-0.4068381021724862,0.0468521510588554,flowering dogwood,winged elm,GRSM-Tremont-Nature Trail 
281,8806,12,Colored leaves,1192,Colored leaves,14,0.5600091430810556,0.0066059928297404,flowering dogwood,winged elm,GRSM-Tremont-Nature Trail 
283,8806,61,Increasing leaf size,81,Colored leaves,14,-0.4971830761761255,0.015233283457063,sugar maple,sweetgum,GRSM-Tremont-Nature Trail 
288,8806,61,Increasing leaf size,823,Colored leaves,14,-0.4114890395670648,0.0462045765852813,sugar maple,American hornbeam,GRSM-Tremont-Nature Trail 
289,8806,61,Increasing leaf size,1192,Increasing leaf size,14,0.6480548057155245,0.0014253454469424,sugar maple,winged elm,GRSM-Tremont-Nature Trail 
294,8806,61,Falling leaves,100,Increasing leaf size,13,0.421089084774252,0.0492017802853333,sugar maple,white oak,GRSM-Tremont-Nature Trail 
300,8806,61,Leaves,1192,Leaves,15,0.5784313725490197,0.0032446170979626,sugar maple,winged elm,GRSM-Tremont-Nature Trail 
308,8806,81,Increasing leaf size,82,Breaking leaf buds,14,0.5762803837496,0.0049102360947263,sweetgum,tuliptree,GRSM-Tremont-Nature Trail 
311,8806,81,Increasing leaf size,823,Increasing leaf size,14,0.4719399037242694,0.0207184154312571,sweetgum,American hornbeam,GRSM-Tremont-Nature Trail 
316,8806,81,Falling leaves,82,Falling leaves,13,0.5263157894736842,0.0139522990373366,sweetgum,tuliptree,GRSM-Tremont-Nature Trail 
327,8806,81,Colored leaves,823,Colored leaves,14,0.827640881769065,6.528965590078832e-05,sweetgum,American hornbeam,GRSM-Tremont-Nature Trail 
329,8806,81,Colored leaves,1192,Colored leaves,14,0.5,0.0149810150532012,sweetgum,winged elm,GRSM-Tremont-Nature Trail 
339,8806,82,Increasing leaf size,823,Increasing leaf size,14,0.5698412946808924,0.0050389548883497,tuliptree,American hornbeam,GRSM-Tremont-Nature Trail 
346,8806,82,Leaves,823,Leaves,15,0.6601941747572816,0.000720722551589,tuliptree,American hornbeam,GRSM-Tremont-Nature Trail 
349,8806,100,Increasing leaf size,1192,Falling leaves,13,0.4675324675324674,0.0274900586481659,white oak,winged elm,GRSM-Tremont-Nature Trail 
356,8806,823,Colored leaves,1192,Increasing leaf size,14,-0.4205631760067919,0.0407629831211741,American hornbeam,winged elm,GRSM-Tremont-Nature Trail 
357,8806,823,Colored leaves,1192,Colored leaves,14,0.6667107103139691,0.001283074400331,American hornbeam,winged elm,GRSM-Tremont-Nature Trail 
358,8836,3,Leaves,81,Leaves,13,0.4475234075187578,0.0363888662007085,red maple,sweetgum,GRSM-Sugarlands Nature Trail
359,8836,3,Leaves,82,Leaves,13,0.4832323597540974,0.0257125123476664,red maple,tuliptree,GRSM-Sugarlands Nature Trail
360,8836,3,Leaves,823,Leaves,13,0.4267045976501319,0.0480891520533275,red maple,American hornbeam,GRSM-Sugarlands Nature Trail
368,8836,81,Increasing leaf size,82,Increasing leaf size,11,0.697277051246695,0.0030042622393982,sweetgum,tuliptree,GRSM-Sugarlands Nature Trail
371,8836,81,Leaves,82,Leaves,13,0.6667948594698255,0.0017308539731672,sweetgum,tuliptree,GRSM-Sugarlands Nature Trail
372,8836,81,Leaves,823,Leaves,13,0.4675719001195179,0.0274863361115103,sweetgum,American hornbeam,GRSM-Sugarlands Nature Trail
373,8836,81,Colored leaves,82,Colored leaves,12,0.5151515151515151,0.0209803516313932,sweetgum,tuliptree,GRSM-Sugarlands Nature Trail
376,8836,82,Leaves,823,Leaves,13,0.4370956778314643,0.041894193197355,tuliptree,American hornbeam,GRSM-Sugarlands Nature Trail
378,8899,61,Leaves,79,Leaves,13,0.4935064935064934,0.0199674304931967,sugar maple,American beech,GRSM-Newfound Gap
379,8899,61,Leaves,1172,Leaves,13,0.7058974305816028,0.0009234420576988,sugar maple,yellow buckeye,GRSM-Newfound Gap
380,8899,61,Leaves,1174,Leaves,13,0.802701067850918,0.0001740230340733,sugar maple,Allegheny serviceberry,GRSM-Newfound Gap
381,8899,79,Leaves,1172,Leaves,13,0.6143922080988024,0.0039337873085607,American beech,yellow buckeye,GRSM-Newfound Gap
382,8899,79,Leaves,1174,Leaves,13,0.631633627161378,0.0031370371316716,American beech,Allegheny serviceberry,GRSM-Newfound Gap
383,8899,1172,Leaves,1174,Leaves,13,0.8212100613803269,0.0001320921844935,yellow buckeye,Allegheny serviceberry,GRSM-Newfound Gap
384,8901,91,Increasing leaf size,1199,Increasing leaf size,12,0.6929348671835832,0.0022316179323638,American mountain ash,mountain maple,GRSM-Clingmans Dome Rd.
386,8901,91,Leaves,97,Leaves,13,0.5621035095372022,0.0083390347056485,American mountain ash,yellow birch,GRSM-Clingmans Dome Rd.
389,8901,91,Leaves,1189,Leaves,13,0.4474071525726428,0.0366387901587302,American mountain ash,pin cherry,GRSM-Clingmans Dome Rd.
391,8901,91,Leaves,1199,Leaves,13,0.7189696052220028,0.0007402559106148,American mountain ash,mountain maple,GRSM-Clingmans Dome Rd.
398,8901,91,Colored leaves,1189,Colored leaves,13,0.516567619255367,0.016330215477267,American mountain ash,pin cherry,GRSM-Clingmans Dome Rd.
399,8901,91,Colored leaves,1199,Leaves,13,0.5960395606792696,0.0055900820170959,American mountain ash,mountain maple,GRSM-Clingmans Dome Rd.
401,8901,97,Falling leaves,1189,Falling leaves,13,0.7248485396311461,0.0008331759151342,yellow birch,pin cherry,GRSM-Clingmans Dome Rd.
409,8901,97,Leaves,1199,Leaves,13,0.5526315789473683,0.0098396614128719,yellow birch,mountain maple,GRSM-Clingmans Dome Rd.
412,8901,97,Colored leaves,1189,Leaves,13,-0.4503410014021148,0.0362980985292846,yellow birch,pin cherry,GRSM-Clingmans Dome Rd.
418,8901,1189,Leaves,1199,Leaves,13,0.4635863249727652,0.0311502591754897,pin cherry,mountain maple,GRSM-Clingmans Dome Rd.
421,8901,1189,Colored leaves,1199,Colored leaves,13,0.6578947368421051,0.0021183935974864,pin cherry,mountain maple,GRSM-Clingmans Dome Rd.
425,8902,3,Increasing leaf size,12,Leaves,12,0.5846845821518305,0.0088421741541674,red maple,flowering dogwood,GRSM-Mingus Mill
